accessor, 存取方法, 
action, 动作, 
allocate, 分配, 
application identifier, 应用程序标识, 
application sandbox, 应用沙盒, 
Application/App, 应用, 
archive, 固化, 这里的archive是存取机制概念
attribute, 特性（Class的属性概念）/实体属性（Core Data概念）, 
autoresize, 自动缩放, 
autoresize mask, 自动缩放掩码, 
autorotation, 自动转屏, 
badge, 图标标记, 推送通知中的概念
block, 程序块, 
Blocks, Block对象, 
bundle, 程序包, 官
bundle identifier, 程序包标识, 
Category, 范畴, 官
collection class, collection类, 
collection object, collection对象, 
composite, 图像合成, 
conform to, 遵守, 
connect, 关联, 官
console, 控制台, 
convenience method, 便捷方法, 
deallocate, 释放/解除分配, 
delegate, 委托/委托对象, 
delegation, 委托/委托机制, 官
designated initializer, 指定初始化方法, 官
Device ID, 设备标识, 
dictionary, 字典对象, 
dismiss, 关闭/隐藏, 
double-tap, 连按, 官
entity, 实体, Core Data概念
feedback service, 反馈服务, 
fetched property, 生成属性, 
file's owner, 文件所有者, 
first responder, 第一响应对象, 
framework, 框架, 
graphics context, 绘图上下文, 
hierarchy, 层次结构, 
Home screen, 主屏幕, 官
immutable, 不可修改的, 
Info property list, 应用信息文件, 
initializer, 初始化方法, 官
internationalization, 国际化, 
key-value pair, 键-值对, 
Keychain Access, 钥匙串访问, 官
landscape / landscape mode, 横排/横排模式, 官
Launch Image, 启动图片, 
layer, 层, 
localization, 本地化, 
low memory warnings, 内存过低警告, 
master-detail, 主从, UISplitViewController概念
message, 消息, 
model file, 模型文件, Core Data概念
modifier, 修饰符, 语言的modifier，例如__block
motion event, 运动事件, 
mutable, 可修改的, 
notification, 通告, 官
observer, 观察器, 
opacity, 不透明度, 
outlet, 插座变量, 官
owner, 拥有方, 
ownership, 所有权, 
point, 点, 
portrait / portrait mode, 竖排/竖排模式, 官
property list serializable, 可序列化, 
protocol, 协议, 官
push notification, 推送通知, 
relationship, 关系, Core Data概念，但是其他地方也有使用
release, release, 
respond, 响应, 
responder chain, 响应对象链, 
responder/UIResponder, 响应对象, 
retain, retain, 
retain count, retain计数, 
retain cycle, retain循环, 
Retina, Retina, 官
run loop, 运行循环, 
selector, 选择器, 官
sheet, 下拉窗口, 
strings table, 字符串对照表, 
subclass, 子类/子类化, 
superclass, 父类, 
synthesize, 合成, 
tap, 轻按/按下, 官
target, 目标, 
target-action pairs, 目标-动作对, 
the model layer, 模型层, 
the presentation layer, 外观层, 
toll-free bridging, toll-free bridging, 
transient, transient, 
unarchive, 解固, 同archive
universal application, 通用应用, 
view, 视图/UIView实例, 官
view controller, 视图控制对象, 
 ,  ,  


accelerometer, 方向感应器, 官
accessory indicator, 辅助指示视图, 
activity indicator, 活动指示器, 
annotation, 标注, 
assistant editor, 辅助编辑区域, 
build, 构建, 
Build Phases, 构建阶段, 
canvas, 画布, 
code completion, 代码补全, 
code snippet library, 代码片段库, 
debug area, 调试区域, 
debugger, 调试器, 
disclosure button, 三角展开按钮, 
Done, 完成, 官
editor area, 编辑区域, 
form sheet, 表单样式, 
gutter, 代码标志区, 
identity inspector, 标识检视面板, 
inspector, 检视面板, 
interface builder, Interface Builder, 
log navigator, 日志导航面板, 
navigation bar, 导航条, 官
navigator, 导航面板, 
navigator area, 导航面板区域, 
navigator selector, 导航面板选择器, 
object library, 对象库面板, 
outline view, 大纲视图, 
page sheet, 页单样式, 
profiling, 性能分析, 
project navigator, 项目导航面板, 
Scheme, 方案, 
Schemes, 方案, 
tab bar, 标签条, 
The Static Analyzer, 静态分析器, 
toolbar, 工具条, 
utilities area, 工具区域, 
workspace, 工作空间, 
 ,  ,  


Model-View-Controller, 模型-视图-控制器, 
override, 覆盖, 
 ,  ,  


active state, 激活状态, 
address book, 通讯录, 
Airplane Mode, 飞行模式, 
alert sound, 提醒音, 推送通知概念
animation transaction, 动画事务, 
Apple, Apple, 
application domain, 应用域, 
Applications/Utilities, 应用程序/工具, 
arguments, 参数, 
audio session category, 音频会话分类, 
background state, 后台运行状态, 
bitwise operation, 按位运算符, 
blur radius, 模糊半径, 
breakpoint, 断点, 
button, 按钮, 
Camera, 相机, 
capture, 捕获, 
check, 勾选, 
checkbox, 选择框, 
class, 类, 
class extension, 类扩展, 
clause, 子句, 
color picker, 颜色选择控件, 
color wheel, 色盘, 
command line tool, 命令行工具, 
compile, 编译, 
compile-time error, 编译时错误, 
compiler directive, 编译器指令, 
concatenate, 连结, 
concrete subclass, 具体子类, 
container, 容器, 
controller, 控制器, 
copy, 拷贝, 
Core Animation Layer, Core Animation Layer, 
data segment, 数据段, 
declaration, 声明, 
deliver, 投递, 
developer certificate, 开发者证书, 
device token, 设备token, 
Dock, Dock, 
domain mask, 域掩码, 
draw/draw view, 绘图/绘制视图, 
enhanced format, 加强格式, 
event, 事件, 
event queue, 事件队列, 
explicit layer, 显式层, 
explicitly, 显式地, 
fading, 渐隐渐现/淡入淡出, 
fast enumeration, 快速枚举, 
faults, faults, 
field, 输入框, 
file descriptors, 文件描述符, 
footer view, 表尾视图, 
forward declaration, 前置声明, 
function, 函数, 
General, 通用, 
header file, 头文件, 
header view, 表头视图, 
heap, 堆, 
host byte order, 主机字节序, 
identity matrix, 单位矩阵, 
implementation file, 实现文件, 
implicit, 隐式的, 
implicitly, 隐式地, 
inactive state, 未激活状态, 
inherit, 继承, 
instance, 实例, 
instance variable, 实例变量, 
instrument, 组件, 
Instruments, Instruments, 
intermediate file, 中间文件, 
International, 多语言环境, 
internet socket, 互联网套接字, 
key path, 键路径, 
key-value coding, 键-值存取机制, 
keyed archiving, keyed archiving, 
keyframe, 关键帧, 
label, 标签, 
local variable, 局部变量, 
low-pass filter/high-pass filter, 低通滤波/高通滤波（或，低通滤波算法/高通滤波算法）, 
macro, 宏, 
margin, 外间距, 
method, 方法, 
modal / modally, 模态 / 模态地, 
multi-touch event, 多点触摸事件, 
namespace, 名字空间, 
network byte order, 网络字节序, 
not running, 未运行状态, 
notification center, 通告中心, 
notification package, 通知包, 
object, 对象, 
object diagram, 对象图, 
object file, 目标文件, 
Object-Relational Mapping, 对象-关系映射, 
offscreen context, 屏外上下文, 
offscreen drawing, 屏外绘图, 
offscreen image context, 屏外图片上下文, 
optional / optional method, 可选的 / 可选方法, 
origin, 起始点, 
parameter, 参数, 
placeholder object, 占位对象, 
post notification, 发布通告, 
preference specifier, 偏好设置说明符, 
preferences, 偏好设置, 
Preprocessing, 预处理, 
preprocessor, 预处理器, 
primary key, 主键, 
primitives, 基本类型, 
product, 产品, 
project, 项目, 
property, 属性, 
provider, provider, 
Provisioning profile, 暂不翻译, 
proximity notification, 设备近身通告, 
receiver, 接收方, 
redo, 重做, 
reference, 引用, 
registration domain, 注册域, 
reordering control, 换位控件, 
required / required method, 必需的 / 必需方法, 
resolve, 解析, 
root view controller, 根视图控制对象, 
rotate, “转动”或“旋转”, 
run-time error, 运行时错误, 
runtime, 运行时环境, 
saved photos album, 存储的相片, 
scope, 作用域, 
screen, 屏幕, 
section, 表格段, 
segmented control, 分段控件, 
set fault, set fault, 
Show Package Contents, 显示包内容, 
simple format, 简单格式, 
sliding, 滑入滑出, 
sort descriptor, 排序描述对象, 
stack, 栈, 
stack frame, 栈帧, 
stack trace, 堆栈跟踪信息, 
streaming connection, 流连接, 
structure, 结构, 
subview, 子视图, 
superview, 父视图, 
suspended state, 挂起状态, 
system sound, 系统声音, 
system sound server, 系统声音服务, 
tab, 标签, 
Terminal.app, 终端.app, 
timer, 定时器, 
timing, 速度控制, 
to-many, 一对多, Core Data概念
to-one, 一对一, Core Data概念
touch event, 触摸事件, 
transformation matrix, 变形矩阵, 
undo, 撤销, 
Use Photo, 选取, 
web service, Web服务, 
wildcard character, 通配符, 
window, 窗口, 
XML-serialized, 以XML格式序列化的, 
 ,  ,  


